CO2(ppm), TVOC, temperature
405,  0, 23.018154317125152
405,  0, 23.903518802171106
405,  0, 23.018154317125152
408,  1, 23.903518802171106
405,  0, 23.018154317125152
408,  1, 23.903518802171106
405,  0, 23.018154317125152
405,  0, 23.903518802171106
405,  0, 23.018154317125152
405,  0, 23.018154317125152
408,  1, 23.018154317125152
405,  0, 23.018154317125152
405,  0, 23.018154317125152
415,  2, 22.311623169928282
543,  21, 22.311623169928282
683,  43, 22.66252995492249
853,  69, 22.66252995492249
905,  76, 22.66252995492249
967,  86, 22.66252995492249
1032,  96, 23.018154317125152
1285,  134, 22.66252995492249
1416,  154, 23.018154317125152
1458,  161, 23.018154317125152
1432,  157, 23.018154317125152
1538,  173, 23.018154317125152
1558,  176, 23.018154317125152
1558,  176, 23.018154317125152
1574,  178, 23.37862394551081
