 1160	0.145
 1158	0.144
 1156	0.144
 1155	0.144
 1156	0.144
 1159	0.144
 1158	0.144
 1160	0.145
 1162	0.145
 1161	0.145
 1159	0.145
 1158	0.144
 1158	0.144
 1157	0.145
 1153	0.144
 1147	0.143
 1141	0.143
 1145	0.143
 1139	0.142
 1136	0.142
 1132	0.142
 1132	0.141
 1123	0.140
 1128	0.141
 1128	0.141
 1130	0.141
 1128	0.141
 1121	0.140
 1116	0.140
 1127	0.141
 1122	0.140
 1129	0.141
 1120	0.140
 1121	0.140
 1111	0.140
 1119	0.140
 1119	0.140
 1120	0.140
 1123	0.141
 1117	0.140
 1123	0.141
 1122	0.140
 1122	0.140
 1130	0.141
 1107	0.137
 1114	0.139
 1140	0.142
 1144	0.143
 1145	0.143
 1151	0.144
 1166	0.145
 1182	0.148
 1178	0.147
 1166	0.146
 1209	0.151
 1278	0.159
 1282	0.160
 1287	0.161
 1328	0.166
 1360	0.170
 1402	0.175
 1436	0.179
 1503	0.187
 1604	0.201
 1651	0.206
 1725	0.216
 1746	0.218
 1780	0.223
 1803	0.225
 1811	0.227
 1827	0.228
 1862	0.232
 1861	0.232
 1827	0.228
 1800	0.225
 1778	0.222
 1720	0.214
