s,t,a,r,t,",", ,w,r,i,t,i,n,g
"('CO2: ', 415, 'ppm, TVOC: ', 2, ' temp: ', 23.744071626476455)"
"('CO2: ', 411, 'ppm, TVOC: ', 1, ' temp: ', 24.62943611152241)"
"('CO2: ', 423, 'ppm, TVOC: ', 3, ' temp: ', 23.744071626476455)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 24.62943611152241)"
"('CO2: ', 444, 'ppm, TVOC: ', 6, ' temp: ', 24.114635514954045)"
"('CO2: ', 448, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 418, 'ppm, TVOC: ', 2, ' temp: ', 24.114635514954045)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 24.62943611152241)"
"('CO2: ', 442, 'ppm, TVOC: ', 6, ' temp: ', 24.114635514954045)"
"('CO2: ', 425, 'ppm, TVOC: ', 3, ' temp: ', 25.0)"
"('CO2: ', 425, 'ppm, TVOC: ', 3, ' temp: ', 23.744071626476455)"
"('CO2: ', 414, 'ppm, TVOC: ', 2, ' temp: ', 24.263988430556765)"
"('CO2: ', 443, 'ppm, TVOC: ', 6, ' temp: ', 23.744071626476455)"
"('CO2: ', 497, 'ppm, TVOC: ', 14, ' temp: ', 25.0)"
"('CO2: ', 502, 'ppm, TVOC: ', 15, ' temp: ', 24.114635514954045)"
"('CO2: ', 497, 'ppm, TVOC: ', 14, ' temp: ', 25.0)"
"('CO2: ', 488, 'ppm, TVOC: ', 13, ' temp: ', 24.114635514954045)"
"('CO2: ', 476, 'ppm, TVOC: ', 11, ' temp: ', 25.0)"
"('CO2: ', 459, 'ppm, TVOC: ', 8, ' temp: ', 24.114635514954045)"
"('CO2: ', 459, 'ppm, TVOC: ', 8, ' temp: ', 25.0)"
"('CO2: ', 446, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 443, 'ppm, TVOC: ', 6, ' temp: ', 25.0)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 24.114635514954045)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 25.0)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 24.114635514954045)"
"('CO2: ', 433, 'ppm, TVOC: ', 5, ' temp: ', 25.0)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 24.114635514954045)"
"('CO2: ', 423, 'ppm, TVOC: ', 3, ' temp: ', 25.0)"
"('CO2: ', 413, 'ppm, TVOC: ', 1, ' temp: ', 24.114635514954045)"
"('CO2: ', 413, 'ppm, TVOC: ', 1, ' temp: ', 25.0)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.114635514954045)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 25.0)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 24.114635514954045)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 25.0)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 24.114635514954045)"
"('CO2: ', 433, 'ppm, TVOC: ', 5, ' temp: ', 25.0)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 24.114635514954045)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 25.0)"
"('CO2: ', 443, 'ppm, TVOC: ', 6, ' temp: ', 24.114635514954045)"
"('CO2: ', 446, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 446, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 456, 'ppm, TVOC: ', 8, ' temp: ', 24.114635514954045)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 456, 'ppm, TVOC: ', 8, ' temp: ', 25.0)"
"('CO2: ', 459, 'ppm, TVOC: ', 8, ' temp: ', 24.114635514954045)"
"('CO2: ', 456, 'ppm, TVOC: ', 8, ' temp: ', 25.0)"
"('CO2: ', 456, 'ppm, TVOC: ', 8, ' temp: ', 24.114635514954045)"
"('CO2: ', 446, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 451, 'ppm, TVOC: ', 7, ' temp: ', 24.114635514954045)"
"('CO2: ', 446, 'ppm, TVOC: ', 7, ' temp: ', 25.0)"
"('CO2: ', 436, 'ppm, TVOC: ', 5, ' temp: ', 24.114635514954045)"
"('CO2: ', 443, 'ppm, TVOC: ', 6, ' temp: ', 25.0)"
"('CO2: ', 426, 'ppm, TVOC: ', 3, ' temp: ', 23.744071626476455)"
"('CO2: ', 423, 'ppm, TVOC: ', 3, ' temp: ', 24.62943611152241)"
"('CO2: ', 417, 'ppm, TVOC: ', 2, ' temp: ', 23.744071626476455)"
"('CO2: ', 409, 'ppm, TVOC: ', 1, ' temp: ', 24.62943611152241)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 402, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 407, 'ppm, TVOC: ', 1, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 23.744071626476455)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 402, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 402, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 402, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 406, 'ppm, TVOC: ', 0, ' temp: ', 23.744071626476455)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.62943611152241)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 406, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 406, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 409, 'ppm, TVOC: ', 1, ' temp: ', 24.263988430556765)"
"('CO2: ', 403, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 400, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 408, 'ppm, TVOC: ', 1, ' temp: ', 24.263988430556765)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 23.37862394551081)"
"('CO2: ', 405, 'ppm, TVOC: ', 0, ' temp: ', 24.263988430556765)"
